NumeroEstudiante;RUN;Cohorte;Bloqueo;Causal_Bloqueo;Ultima_carga;Fecha_logro;Logro
389368;18678398;2013-01;N;Sin Bloqueo;2013-01;2013-01;1 AÑO
388287;5773878;2020-01;N;Sin Bloqueo;-;2020-01;INGRESO
467288;18316956;2020-01;N;Sin Bloqueo;-;2020-01;INGRESO
655765;20185091;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
474764;21409877;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
463763;8509444;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
493762;16796437;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
615952;24231776;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
458769;14813687;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
448789;9327234;2022-02;S;BLOQUEO POR NO INSCRIPCION;-;2022-02;INGRESO
504911;6843987;2023-01;S;SUSPENSION DE ESTUDIOS;-;2023-01;INGRESO
449386;17809098;2023-01;N;Sin Bloqueo;2024-02;2024-01;1 SEMESTRE
521988;14098509;2023-01;N;Sin Bloqueo;-;2023-01;INGRESO
492005;25843105;2023-01;N;Sin Bloqueo;-;2023-01;INGRESO
616000;21794235;2023-01;S;CAMBIO DE PLAN O CARRERA;-;2023-01;INGRESO
385008;17734410;2023-02;S;BLOQUEO POR INTERCAMBIO;-;2023-02;INGRESO
399009;10055195;2023-02;S;CAMBIO DE PLAN O CARRERA;-;2023-02;INGRESO
484055;8448392;1999-01;S;BLOQUEO POR NO INSCRIPCION;1999-01;1999-01;INGRESO
502233;16965559;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
534053;10355093;1999-01;S;BLOQUEO POR NO INSCRIPCION;1999-01;1999-01;INGRESO
481689;10838564;2005-02;S;SUSPENSION DE ESTUDIOS;-;2005-02;INGRESO
601373;4909616;1992-01;S;BLOQUEO POR NO INSCRIPCION;1998-02;1992-01;INGRESO
488325;17394618;2000-01;S;ALUMNO EGRESADO;2006-01;2006-01;QUINTO AÑO - EGRESO
576123;12921878;2001-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2001-01;INGRESO
642646;9356329;1989-01;S;BLOQUEO POR NO INSCRIPCION;1998-01;1989-01;INGRESO
607409;20053287;2000-01;N;Sin Bloqueo;2005-02;2000-01;INGRESO
